id,date,draw1,draw2,draw3,draw4,draw5,draw6
2342,2021-02-06,17,20,24,27,40,60
2341,2021-02-03,04,09,31,32,42,46
2340,2021-01-30,16,21,28,41,49,51
2339,2021-01-28,04,18,29,47,48,59
2338,2021-01-26,08,21,23,34,42,47
2337,2021-01-23,02,09,34,49,51,55
2336,2021-01-20,08,10,20,27,28,50
2335,2021-01-16,09,18,23,42,47,49
2334,2021-01-13,04,13,20,22,25,60
2333,2021-01-09,09,16,31,41,53,55
2332,2021-01-06,12,33,35,36,44,52
2331,2021-01-02,11,13,16,36,53,57
2329,2020-12-19,12,14,28,42,45,55
2328,2020-12-16,08,11,14,39,48,53
2327,2020-12-12,30,37,45,54,57,58
2326,2020-12-10,10,16,27,34,36,57
2325,2020-12-08,33,34,37,46,52,60
2324,2020-12-05,02,16,19,31,43,60
2323,2020-12-02,20,27,35,39,50,59
2322,2020-11-28,02,05,10,29,34,41
2321,2020-11-25,14,25,28,41,43,46
2320,2020-11-21,06,30,35,39,42,48
2319,2020-11-18,06,17,25,35,40,49
2318,2020-11-14,28,44,52,54,58,60
2317,2020-11-11,03,08,30,33,35,48
2316,2020-11-07,02,11,43,49,52,56
2315,2020-11-04,01,10,17,26,30,53
2314,2020-10-31,06,07,28,42,45,49
2313,2020-10-28,03,20,26,45,49,58
2312,2020-10-24,03,27,39,46,47,60
2311,2020-10-22,03,05,09,35,43,60
2310,2020-10-20,13,17,28,29,42,53
2309,2020-10-17,09,11,29,30,33,60
2308,2020-10-14,09,13,26,38,58,60
2307,2020-10-10,16,33,38,46,53,55
2306,2020-10-07,03,19,28,33,57,58
2305,2020-10-03,07,16,22,38,55,57
2304,2020-09-30,12,21,29,54,56,57
2303,2020-09-26,03,07,17,20,48,50
2302,2020-09-23,18,22,25,27,43,44
2301,2020-09-19,17,18,35,36,47,52
2300,2020-09-17,09,21,37,39,43,54
2299,2020-09-15,02,03,19,40,44,60
2298,2020-09-12,13,17,21,31,41,49
